id,cat.number,cat.age,bw,pure.mixed,breed,pedigree,hair.length,sex,neuter.status,neutering.age,cat.source,council.registered,insured,last.flea.tx,bcs.owner,bcs.owner.fig,bcs.vet,bw.monitoring,feeding.frq,feeding.frq.bi,leftover,frq.dry,frq.canned,frq.wet,frq.homemade,frq.humanfood,frq.snack,fre.major,fre.major.cat,quant.no.rule,quant.vet,quant.package,quant.cat.eats,quant.more.than.cat,quant.cat.bw,quant.cat.bcs,quant.experience,quant.breeder.carer,quant.web,neighbour.food,beg.food,give.in.beg,indoor,yard,street,hunt.old,hunt.new,hunt.bi,prey.bird,prey.l.mammal,prey.s.mammal,prey.insect,prey.lizard.frog,prey,night,rt.cubby.cute,rt.fat.cute,rt.chubby.happy,rt.fat.happy,rt.chubby.dz,rt.fat.dz,rt.chubby.fine,rt.fat.fine,rt.happy.than.fit,rt.chubby.unhealth,rt.fat.unhealth,rt.control.bw,rt.chubby.qol,rt.fat.qol,purpose.for.getting.cat,benefit.human.wp,benefit.human.wop,benefit.aniaml.wp,benefit.aniaml.wop,benefit.pest.wp,benefit.pest.wop,benefit.show.wp,benefit.show.wop,benefit.mental,benefit.none,benefit.other,benefit.sum,frq.patting,frq.play,frq.same.space,time.w.cat,satisfication,closeness,vet.health.check,vet.shot,vet.sick,vet.chronic.ill,vet.deworm.flea,vet.none.ill,vet.boarding,vet.sum,gender,live.in.aus,live.in.aus.bi,urban.rural,state,home.type,age.range,household,education,prof.no.aniaml,prof.vet,prof.ngo,prof.pet,prof.livestocks,prof.wildlife,prof.captive.wild,prof.other,prof.cat,q.source
1,2,2,4.5,2,Selkirk Rex,2,3,1,2,1,breeder,2,1,1,3,3,3,2,2,1,1,2,,3,,,,wet,wet,1,0,0,0,0,0,0,0,0,0,1,1,1,4,,,1,1,1,0,0,0,0,0,nh,1,-1,-2,-1,0,0,0,-1,-2,d,-1,-2,-1.5,-1,-2,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,3,2,4,9,5,5,2,1,0,0,0,0,0,3,1,2,2,2,1,3,4,s.ps,5,0,0,0,0,0,0,0,0,0,NGO
2,2,17,4,1,Mixed,1,3,1,2,4,petshop,1,1,6,3,0,0,1,2,1,2,3,3,3,1,2,1,dry.can.wet,dry.wet,0,0,0,1,0,0,0,0,0,0,1,2,4,4,2,1,1,1,1,0,0,0,0,0,nh,2,2,4,0,0,-2,0,1,0,n,0,0,0,0,0,companion.h,1,0,0,0,0,0,0,0,1,0,0,1,4,4,4,12,5,5,1,1,1,1,2,2,2,10,1,2,2,2,5,3,3,s.h,2,0,0,0,0,0,0,0,0,0,social.m
3,2,10,4,1,Mixed,1,1,1,2,2,shelter,2,1,2,3,3,3,2,2,1,2,2,1,1,3,2,2,home,wet,0,0,0,1,0,0,0,0,0,0,1,2,2,3,2,1,2,2,2,0,0,1,1,0,s,1,-1,-2,-1,-2,0,2,-1,-4,d,0,-2,-1.5,-1,-4,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,3,2,4,9,5,5,0,0,1,2,0,0,0,3,1,2,2,2,3,1,2,s.ps,3,0,0,0,0,0,0,0,0,0,social.m
4,3,2,5.5,1,Mixed,1,1,2,2,2,mycat,2,1,3,4,4,0,3,5,2,3,3,2,,,,,dry,dry,1,0,0,0,0,0,0,0,0,0,1,2,2,4,3,1,2,2,2,0,0,0,1,0,s,4,0,0,0,0,1,4,0,0,n,1,2,-1.5,0,0,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,11,5,5,2,2,1,1,2,2,2,12,1,2,2,1,3,3,2,w.p,3,0,0,0,0,0,0,0,0,0,social.m
5,7,5,4,2,Burmese,1,1,1,2,0,breeder,2,1,4,3,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
6,1,2,4,1,Mixed,1,1,1,2,1,shelter,2,1,2,3,3,3,1,2,1,4,3,1,2,1,1,1,dry,dry,0,0,0,1,0,0,0,0,0,0,1,2,2,3,3,2,4,4,2,0,0,1,1,0,s,5,2,4,-1,-2,1,2,-1,-2,n,1,-2,-1.5,0,-2,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,5,5,0,1,2,0,0,0,0,3,1,2,2,2,1,2,2,s.h,2,0,0,0,0,0,0,0,0,0,social.m
7,2,12,8,2,British Shorthair,1,1,2,2,1,friend,1,1,6,5,5,0,1,5,2,4,3,2,1,1,1,2,dry,dry,0,0,0,1,0,0,0,0,0,0,1,2,3,4,1,1,1,1,1,0,0,0,0,0,nh,1,0,0,-2,-4,1,2,-1,-2,sd,-1,-2,-3,-2,-4,cat.came,1,1,0,0,0,0,0,0,0,0,0,1,4,3,4,11,5,5,2,0,1,0,0,0,0,3,1,1,1,,,1,3,c.wo.d.c,7,0,0,0,0,0,0,0,0,0,social.m
8,4,3,6.5,1,Mixed,1,2,2,2,3,friend,1,1,4,3,4,4,1,2,1,2,3,,2,1,1,1,dry,dry,0,0,1,0,0,1,0,0,0,0,1,2,1,4,1,1,1,6,2,0,0,0,1,0,s,1,0,0,-2,-4,-1,-4,-1,-4,d,0,-2,-3,-1,-2,companion.h,1,0,1,1,0,0,0,0,0,0,0,1,4,3,4,11,4,5,0,2,1,0,0,0,0,3,1,2,2,2,1,1,5,s.ps,2,0,0,0,0,0,0,0,0,0,NGO
9,1,3,6,1,Mixed,1,2,2,2,2,shelter,2,1,3,4,4,4,2,3,1,2,3,,2,,,,dry,dry,0,1,0,0,0,0,0,0,0,0,1,3,2,4,1,1,1,1,1,0,0,0,0,0,nh,1,0,0,0,0,0,2,0,0,n,0,0,0,0,-2,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,5,5,2,0,0,0,0,1,0,3,1,2,2,2,1,3,1,c.wo.d.c,3,0,0,0,0,0,0,0,0,0,social.m
10,1,17.5,6,1,Mixed,1,1,2,2,1,shelter,2,1,1,4,3,4,2,2,1,2,3,1,1,3,2,1,dry,dry,1,0,0,0,0,0,0,0,0,0,1,2,2,3,2,1,1,1,1,0,0,0,0,0,nh,1,-1,-2,-1,-2,0,0,-1,-2,n,-1,-2,-3,-1,-2,companion.h,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,12,5,5,0,2,0,1,0,0,0,3,1,2,2,2,1,3,3,c.wo.d.c,3,0,0,0,0,0,0,0,0,0,social.m
